,name,rating_star,price,price_before_discount,description
51,Heavenly Blush Tummy Yogurt Bar Berries 25g x2,4.892308,13000.0,15800.0,"Isi 2 Heavenly Blush Tummy Yogurt Bar Berries 

Heavenly Blush Tummy Yogurt adalah satu-satunya solusi yang dapat memberikan dua manfaat sekaligus yaitu menyehatkan sistem pencernaan dan melancarkan BAB yang tidak teratur. Hanya Heavenly Blush Tummy Yogurt Bar yang tinggi akan serat dari Oats dan 6 Multigrains!

Shelf life :12 BULAN

BPOM: MD 673010035269"
52,Heavenly Blush Tummy Yogurt Bar Lime 25g + Heavenly Blush Tummy Yogurt Bar Berries 25g,4.944444,13000.0,15800.0,"1. Heavenly Blush Tummy Yogurt Bar Lime 25g adalah satu-satunya solusi yang dapat memberikan dua manfaat sekaligus yaitu menyehatkan sistem pencernaan dan melancarkan BAB yang tidak teratur. Hanya Heavenly Blush Tummy Yogurt Bar yang tinggi akan serat dari Oats dan 6 Multigrains!

Shelf life :12 BULAN 
BPOM: MD 673010033269.


2. Heavenly Blush Tummy Yogurt Bar Berries 25g adalah satu-satunya solusi yang dapat memberikan dua manfaat sekaligus yaitu menyehatkan sistem pencernaan dan melancarkan BAB yang tidak teratur. Hanya Heavenly Blush Tummy Yogurt Bar yang tinggi akan serat dari Oats dan 6 Multigrains! 

Shelf life :12 BULAN 
BPOM: MD 673010035269"
53,Qtela Bbq 60G,4.91012,4700.0,5000.0,"Qtela Bbq 60 gr merupakan makanan ringan yang nikmat dan lezat, memiliki cita rasa yang tinggi, aman dikonsumsi setiap saat, serta cocok dinikmati oleh siapa saja & kapan saja."
54,Hatari Twins Cho & Vanilla 200gr,4.893617,5100.0,5200.0,Hatari Twins Cho & Vanilla 200gr merupakan cemilan biskuit dengan varian rasa krim yang nikmat. Sangat cocok dinikmati saat santai bersama keluarga dan teman bersama kopi atau susu panas.
55,UHA Milk & Herb Candy 103gr,4.908163,20900.0,21100.0,"UHA Milk & Herb Candy 103gr merupakan permen yang kaya akan susu dengan rasa herbal mint yang lezat dan segar. Teksturnya yang lembut dan chewy serta rasanya yang nikmat membuat UHA menjadi permen favorit keluarga. 

BPOM: ML 224409018382.
Shelf Life: 12 months."
56,Porstex Pembersih Keramik Biru Botol 2000 ml,4.893939,35200.0,39500.0,"Porstex Pembersih Keramik Biru Botol 2000 Ml adalah cairan pembersih efektif menghilangkan kotoran membandel pada permukaan porselin dan keramik juga juga membasmi kuman-kuman penyakit. Digunakan untuk permukaan porselen dan keramik (jangan digunakan pada terraso, marmer, grante, parquet). Pakailah sarung tangan karet/plastic bila sedang menggunakan."
57,Kapal Api Krim Kafe 500gr,4.904943,27100.0,28000.0,"Kapal Api Krim Kafe 500gr merupakan kopi bubuk yang terbuat dari biji kopi pilihan. Kapal api menghasilkan kopi yang harum dan lebih enak. Tuangkan satu sendok makan ke dalam cangkir, tambahkan gula secukupnya, kemudian seduh dengan air mendidih 200 ml dan kopi ini siap disajikan."
58,Nescafe Cappuccino Caramel 500gr,4.898089,49300.0,58500.0,"Nescafe Cappuccino Caramel 500gr adalah campuran kopi Robusta dengan krimer, susu bubuk skim dan aroma karamel yang memberikan rasa cappuccino yang unik dan nikmat. BPOM: MD 667013002168"
59,Heavenly Kitchen Vietnamese Coffee Latte 48g,4.851613,18000.0,20000.0,"Heavenly Kitchen Vietnamese Coffee Latte dibuat dari ekstrak kopi arabika dengan rasa yang strong, memberikan rasa otentik Kopi Vietnam yang dapat dinikmati di mana saja. Kopi bersifat anti bakteri, dapat menyembuhkan beberapa persoalan mulut, seperti gigi bercelah serta infeksi gusi. Kopi juga bisa merubah suasana hati dan mengurangi depresi BPOM 667010041269,Shelf Life: 18 BULAN"
60,Aik Cheong Latte 300 gr,4.886364,57200.0,71500.0,"Kemasan berwarna pink dengan rasa soft coffee

BPOM 267031008571
Shelf Life: 24 bulan

Ayo dapatkan Aik Cheong Latte 300 gr sekarang juga! Tunggu apalagi jangan sampai kehabisan stock ya!"
61,Aik Cheong Teh Tarik Halia 600gr,4.9,57200.0,71500.0,"Kemasan berwarna hijau muda dan rasa balck tea dgn ginger extract

BPOM 267031011571
Shelf Life: 24 bulan"
62,Aik Cheong Teh Tarik Classic 100 gr,4.919192,6000.0,14300.0,"Minuman serbuk Teh Instant diproses menggunakan serbuk teh instant, gula ,dan krimer menambah citarasa yang unggul untuk dinikmati
expire date 22 Januari 2021

BPOM 267031003571
Shelf Life: 24 bulan

 the humble business beginnings of Aik Cheong Coffee Roaster Sdn. Bhd. took shape. Amidst rustic and quaint surroundings of a little wooden shop along Temple Street in old Melaka Town, dealings in the coffee bean trade were nurtured. Importing coffee beans from Indonesia, the Philippines and South America and then grounding, roasting and packing (all operated manually) for local market consumption were the initial priorities."
63,Aik Cheong Teh Tarik Halia 600gr,4.9,57200.0,71500.0,"Kemasan berwarna hijau muda dan rasa balck tea dgn ginger extract

BPOM 267031011571
Shelf Life: 24 bulan"
64,Aik Cheong Cappuccino 306 gr,4.974359,66900.0,71500.0,"Aik Cheong Cappuccino 306 gr
- Creamer, Sugar, Instant Coffee, Skimmed Milk Powder dan Microground Coffee
- kemasan berwarna biru dengan bubuk granola terpisah

BPOM 267031007571
Shelf Life: 24 bulan"
65,Excelso Robusta Gold Folding Box 10 x 10gr,4.94964,18000.0,18200.0,"Excelso Robusta Gold Coffee 10 x 10gr terbuat dari biji kopi pilihan dari kebun yang dikelola secara profesional. Dipanggang dan diramu khusus untuk menghasilkan rasa yang mantap dan eksklusif. Valve menjamin keutuhan rasa dan aroma kopi menguapkan kelebihan gas alamiah dengan sendirinya, dan mencegah masuknya udara kedalam kemasan.
BPOM MD 668713108005, Shelf Life: 12 BULAN"
66,Natur Hair Tonic Ginseng 90 ml,4.906736,35700.0,48000.0,"Membantu merawat kekuatan akar rambut dan kesehatan kulit kepala, rambut menjadi lebih sehat dan kuat.

Fungsi :
Menutrisi, membantu mengurangi rambut rontok dengan merawat kekuatan akar rambut.

Active Ingredients :
Ekstrak Ginseng

Penggunaan :
Digunakan setelah keramas, diteteskan pada kulit kepala..

ukuran :
90 ml"
67,Natur Hair Mask Ginseng 15 ml,4.860215,8400.0,10000.0,"Fungsi :
Membantu merawat kekuatan akar rambut, menutrisi dan menjaga kelembaban rambut

Aktif Ingredient :
Ekstrak Gingseng & Olive Oil

Penggunaan :
Digunakan setelah keramas, dioleskan pada helaian rambut. Digunakan satu kali dalam seminggu atau digunakan sesuai kebutuhan rambut anda.

Ukuran :
15 Ml"
