nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Blus Azami Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3146_480x480.jpg?v=1484120277,"
Detail Bahan Dan Ukuran :

Bahan Jersey 
Lingkar Dada : 104 cm 
Panjang Blus : 56 cm 
panjang Lengan 54

"
Blus Azami Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2662_480x480.jpg?v=1484120227,"
Detail Bahan Dan Ukuran :

Bahan Jersey 
Lingkar Dada : 104 cm 
Panjang Blus : 56 cm 
panjang Lengan 54

"
Blus Berly Hitam,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0637_480x480.jpg?v=1484134918,"
Detail Bahan Dan Ukuran 

Bahan : Jersey 
Lingkar Dada: 110 cm
Panjang Baju : 70 cm 

"
Blus Berna Grey,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1958_480x480.jpg?v=1484559585,"
Detail Bahan dan Ukuran :

Bahan : Rajut (Glitter)
Lingkar Dada : 132 cm
Lingkar Lengan : 40 cm
Panjang Blus : 69 cm

"
Blus Betha Fuschia,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0272_480x480.jpg?v=1484134534,"
Blus yang dari bahan jersey adem di pakai cocok untuk acara santai. tinggal di padukan dengan celana pendek atau jeans. untuk lebih bergaya tinggal pakai sepatu snikers atau flats,
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 80 cm
Panjang Blus : 63 cm

"
Blus Betha Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0246_d96c3c40-1aee-4f68-83a7-bb5246da1982_480x480.jpg?v=1484134491,"
 

Blus dengan bahan jersey yang nyaman sangat cocok di pakai saat santai,dan dengan motif garis-garis yang keren bisa di padukan dengan celana polos panjang maupun pendek.seperti kulot atau celana jeans.untuk lebih kren penampilan tinggal di padukan dengan sepatu flat atau kets

Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 80 cm
Panjang Blus : 63 cm

"
Blus Betha Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0246_480x480.jpg?v=1484134447,"

Blus dengan bahan jersey yang nyaman sangat cocok di pakai saat santai,dan dengan motif garis-garis yang keren bisa di padukan dengan celana polos panjang maupun pendek.seperti kulot atau celana jeans.untuk lebih kren penampilan tinggal di padukan dengan sepatu flat atau kets

Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 80 cm
Panjang Blus : 63 cm

"
Blus Betha Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0334_480x480.jpg?v=1484134663,"

Blus dengan bahan jersey yang nyaman sangat cocok di pakai saat santai,dan dengan motif garis-garis yang keren bisa di padukan dengan celana polos panjang maupun pendek.seperti kulot atau celana jeans.untuk lebih kren penampilan tinggal di padukan dengan sepatu flat atau kets

Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 80 cm
Panjang Blus : 63 cm

"
Blus Blossom Coklat,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1666_480x480.jpg?v=1484625169,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Lingkar Dada : 106 cm
Panjang Lengan :20 cm
Panjang Baju : 60 cm 

"
Blus Calie Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2757_1024x1024_286ec0e7-18f4-4593-a3da-9a165efb2d89_480x480.jpg?v=1487587114,"
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 110 cm
Lingkar Lengan : 39 cm
Panjang Depan : 44 cm
Panjang Belakang 79 cm

"
Blus Calie Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2637_1024x1024_7d54e25c-8b45-45e8-a87a-1bbd75f7712e_480x480.jpg?v=1487587793,"
Detail Bahan dan Ukuran :

Bahan : Jersey
Lingkar Dada : 110 cm
Lingkar Lengan : 39 cm
Panjang Depan : 44 cm
Panjang Belakang 79 cm

"
Blus Candice Biru,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0330_480x480.jpg?v=1488456521,"
Detail Bahan Dan Ukuran :

Bahan : Tisue 
Lingkar Dada : 94 cm 
Panjang Lengan : 16 cm 
Panjang Baju : 59 cm 

"
Blus Candida Putih,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1024_c158a85c-112b-43cd-ac5f-d7f6972cbe59_480x480.jpg?v=1484284129,"
Detail Bahan Dan Ukuran 

Bahan : viscose  
Lingkar Dada : 94 cm 
Panjang Baju : 52 cm 

"
Blus Carissa,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0620_480x480.jpg?v=1484134230,"
Detail Bahan Dan Ukuran 

Bahan : Rajut
Lingkar Dada:104 cm
Panjang Baju :135 cm 

"
Blus Carla Lime,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0582green_480x480.jpg?v=1490175285,"
Detail Bahan Dan Ukuran :

Bahan :Jersey 
Lingkar Dada :98 cm 
Panjang Lengan :53 cm 
Panjang Baju : 56 cm 

"
Blus Cella Putih,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0461_1b43baec-deef-444c-86a9-182ffea63a23_480x480.jpg?v=1484308897,"
Detail Bahan Dan Ukuran 

Bahan : Jersey  
Lingkar Dada : 105 cm 
Panjang Baju : 54 cm
Panjang Lengan : 21 cm 

"
Blus Chia Hitam-Grey,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2411_480x480.jpg?v=1488451182,"
Detail Bahan Dan Ukuran :

Bahan : Jersey 
Lingkar Dada : 108 cm 
Panjang Baju : 61cm 
Panjang Lengan : 44cm 

"
Blus Chika Pink,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0932_480x480.jpg?v=1484641437,"
Detail Bahan Dan Ukuran :

Bahan : Spandek 
Lingkar Dada : 101 cm
Panjang Lengan : 56 cm 
Panjang Baju : 77 cm 
Lebar Pinggang :104 cm 

"
Blus Chika Ungu,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0958_149fc580-4abc-4cb4-bbab-0813f549bd29_480x480.jpg?v=1484641607,"
Detail Bahan Dan  Ukuran :

Bahan : Spandek 
Lingkar Dada : 101 cm
Panjang Lengan : 56 cm 
Panjang Baju : 77 cm 
Lebar Pinggang :104 cm 

"
Blus Chione Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0192_480x480.jpg?v=1484130246,"
Detail Bahan Dan Ukuran 

Bahan : jersey
Panjang Baju : 58 Cm 
Lingkar Dada : 142 cm

"
Blus Chione Fusia,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1471_91f187ca-52a8-4803-8939-c8ed71c23085_480x480.jpg?v=1484129442,"
"
Blus Chione Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0182_480x480.jpg?v=1484130205,"
Detail Bahan Dan Ukuran 

Bahan : Jersey
Panjang Baju :58 cm
Lingkar Dada :142 cm

"
Blus Chione Hitam,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1454_a0243b52-076f-409d-b8fa-133dc791b807_480x480.jpg?v=1484129403,"
Detail Bahan Dan Ukuran 

Bahan : Jersey
Panjang Baju :58 cm
Lingkar Dada :142 cm

"
Blus Chione Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1018_480x480.jpg?v=1484129316,"
Detail Bahan Dan Ukuran 

Bahan : Jersey
Panjang Baju :58 cm
Lingkar Dada :142 cm

"
Blus Chione Salem,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1159_480x480.jpg?v=1484129357,"
Detail Bahan Dan Ukuran 

Bahan : jersey
Panjang Baju :58
Lingkar Dada :142



"
Blus Claretta Hitam,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0043_480x480.jpg?v=1484134752,"
Detail Bahan Dan Ukuran 

Bahan : Jersey 
Lingkar Dada:106 cm
Panjang Baju : 70 cm

"
Blus Cora Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2997_480x480.jpg?v=1484120061,"
Detail Bahan Dan Ukuran 

Bahan : jersey dan brokat 
Lingkar Dada :146 cm
Panjang Baju :59 cm

"
Blus Cora Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2963_480x480.jpg?v=1484120011,"
Detail Bahan Dan Ukuran 

Bahan : jersey dan brokat 
Lingkar Dada :146 cm
Panjang Baju : 59 cm

"
Blus Daisy Kuning,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1574_kuning_1_480x480.jpg?v=1484124330,"
Detail Bahan Dan Ukuran :  

Bahan : Jersey 
Lingkar Dada : 105
Panjang Lengan :37 cm 
Panjang Baju :59 cm 

"
Blus Daisy Orange,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1342__1_480x480.jpg?v=1484124297,"
sangat nyaman di pakai saat santai 
detail bahan dan ukuran 

bahan jersey
lingkar dada : 105
panjang lengan : 37 cm 
panjang baju : 59 cm

"
Blus Daiva Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0111_480x480.jpg?v=1484134791,"
Detail Bahan Dan Ukuran 

Bahan : Jersey
Lingkar Dada:101 cm
Panjang Baju :49 cm

"
Blus Danela Pink,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0011_6ada327d-4a37-4c04-8898-bce544be0658_480x480.jpg?v=1484286283,"
Detail Bahan Dan Ukuran 

Bahan : Jersey 
Lingkar Dada:100 cm
Panjang Baju :76 cm
Panjang Lengan :18 cm

"
Blus Danika Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0905_hijau_tosca__1_480x480.jpg?v=1484123527,"
Detail Bahan Dan  Ukuran :

Bahan : Tissue
Lingkar Dada :  92 cm 
Panjang Lengan : 56 cm 
Panjang Baju : 70 cm 

"
Blus Dasha Grey,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0872_480x480.jpg?v=1484197988,"
Detail Bahan Dan Ukuran 

Bahan : Rajut & Sifon 
Lingkar Dada:98 cm
Panjang Baju :40 cm
Panjang Lengan :45 cm

"
