nama_produk,harga_normal,harga_diskon,gambar,deskripsi
Pket Daundra Merah ( 2 Item ),149.000,119200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_0452_480x480.jpg?v=1500021002,"
Detal Bahan Dan ukuran 

Ukuran Blazer 
Bahan : Viscos
Lingkar Dada : 101 cm 
Panjang Lengan : 56 cm 
Panjang : 48 cm 
Ukuran Dres 
Bahan : Viscos + Katun Rayon 
Lingkar Dada : 107 cm 
Panjang Dres :145 cm 
Linkar Pinggul : 104 cm 

"
Rok Lalita Coklat,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3136_480x480.jpg?v=1484311819,"
Rok dengan mahan kattun spandek yang adem di pakai sangat cocok di pakai ke kampus ..atau ke mall..tinggal padukan dengan heels atau flat.
Detail Bahan dan Ukuran :

Bahan : Katun Tissue
Lingkar Pinggang : 76 cm
Panjang Rok : 93 cm

"
Rok Lana Hijau,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_1750tosca_480x480.jpg?v=1484655811,"
Detail Bahan dan Ukuran :

Bahan : Katun Rayon
Lingkar Pinggang : 81 cm
Panjang Rok : 95 cm

"
Rok Lavina Biru,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3264_480x480.jpg?v=1484656953,"
Detail Bahan dan Ukuran :

Bahan : Sifon (Inner Inside)
Lingkar Pinggang : 92 cm
Panjang Rok : 95 cm

"
Rok Lavina Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3249_480x480.jpg?v=1484656974,"
Detail Bahan dan Ukuran :

Bahan : Sifon (Inner Inside)
Lingkar Pinggang : 92 cm
Panjang Rok : 95 cm

"
Rok Lavina Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2505_480x480.jpg?v=1484657000,"
Detail Bahan dan Ukuran :

Bahan : Sifon (Inner Inside)
Lingkar Pinggang : 92 cm
Panjang Rok : 95 cm

"
Rok Lenney Ungu,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2771_480x480.jpg?v=1484657257,"
rok dengan motif bunga..cocok di pakai ke mall.untuk lebih bergaya tinggal padukan dengan heels. 
Detail Bahan dan Ukuran : 

Bahan : Sifon (Inner Inside)
Lingkar Pinggang : 99 cm
Lingkar Pinggul : 116 cm
Panjang Rok : 96 cm

"
Rok Ratya Grey,,,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3955_480x480.jpg?v=1484131136,"
Rok yang memakai bahan sepandek..dan bermotif sangat cocok di pakai saat hangout. untuk lebih bergaya tinggal padukan dengan atasan polos dan heels
Detail Bahan dan Ukuran :

Bahan : Katun Spandek
Lingkar Pinggang : 104 cm
Lingkar Pinggul : 108 cm
Panjang Rok : 95 cm

"
Rok Ratya Hijau,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_3968_480x480.jpg?v=1484647389,"
Rok dengan mahan kattun spandek yang adem di pakai sangat cocok di pakai ke kampus ..atau ke mall..tinggal padukan dengan heels atau flat.
Detail Bahan dan Ukuran :

Bahan : Katun Spandek
Lingkar Pinggang : 104 cm
Lingkar Pinggul : 108 cm
Panjang Rok : 95 cm

"
Rok Sassy Hitam - Putih,99.000,79200.0,//cdn.shopify.com/s/files/1/1660/9265/products/IMG_2255_480x480.jpg?v=1485340682,"
Detail Bahan dan Ukuran :

Bahan : Katun wafer
Lingkar Pinggang : 86 cm
Panjang Rok : 98 cm

"
